,barrio_original,barrio_sin_est,nom_match,lat,lon
4543,URB. CARVAJAL E-8,URB. CARVAJAL,QUIBA RURAL,,
4544,URB. CASA LINDA E-19,URB. CASA LINDA ,LA CAROLINA,,
4545,URB. CASA REY E-5,URB. CASA REY,JUAN REY SUR,,
4546,URB. CASABLANCA E-8,URB. CASABLANCA,CASABLANCA,,
4547,URB. CASTAÑUELA E-11,URB. CASTAÑUELA ,LA ESTANZUELA,,
4548,URB. CASTILLA E-8,URB. CASTILLA,CASTILLA,,
4549,URB. CATALINA E-8,URB. CATALINA,CATALINA,,
4550,URB. CATALINA II SECTOR E-8,URB. CATALINA II SECTOR,CATALINA,,
4551,URB. CATALUÑA E-2,URB. CATALUÑA,CATALINA,,
4552,URB. CATANIA E-8,URB. CATANIA,BATAN,,
4553,URB. CEDRITOS E-1,URB. CEDRITOS,CEDRITOS,,
4554,URB. CEDRITOS LOS CAOBOS E-1,URB. CEDRITOS LOS CAOBOS,CERRO COLORADO,,
4555,URB. CEDRO BOLÍVAR II SECTOR E-1,URB. CEDRO BOLÍVAR II SECTOR,,,
4556,URB. CEDRO GOLF CLUB I SECTOR E-1,URB. CEDRO GOLF CLUB I SECTOR,,,
4557,URB. CEDRO NARVAEZ E-1,URB. CEDRO NARVAEZ,CEDRO NARVAEZ,,
4558,URB. CENTRAL E-14,URB. CENTRAL ,BANCO CENTRAL,,
4559,URB. CENTRAL E-16,URB. CENTRAL ,BANCO CENTRAL,,
4560,URB. CENTRO COMERCIAL PLAZA NORTE E-1,URB. CENTRO COMERCIAL PLAZA NORTE,,,
4561,URB. CENTRO EL DORADO E-9,URB. CENTRO EL DORADO,PUENTE COLORADO,,
4562,URB. CENTRO EMPRESARIAL DE LA SABANA E-9,URB. CENTRO EMPRESARIAL DE LA SABANA,BOSA,,
4563,URB. CENTRO INDUSTRIAL E-13,URB. CENTRO INDUSTRIAL ,CENTRO INDUSTRIAL,,
4564,URB. CENTRO INDUSTRIAL E-16,URB. CENTRO INDUSTRIAL ,CENTRO INDUSTRIAL,,
4565,URB. CENTRO INDUSTRIAL LA RABIDA E-9,URB. CENTRO INDUSTRIAL LA RABIDA,CENTRO INDUSTRIAL,,
4566,URB. CENTRO NARIÑO E-13,URB. CENTRO NARIÑO ,CENTRO NARINO,,
4567,URB. CERROS DE LOS ALPES E-1,URB. CERROS DE LOS ALPES,BOSQUE DE LOS ALPES,,
4568,URB. CERROS DE ORIENTE I SECTOR E-18,URB. CERROS DE ORIENTE I SECTOR ,CERROS DE ORIENTE,,
4569,URB. CERROS DE ORIENTE II SECTOR E-18,URB. CERROS DE ORIENTE II SECTOR ,CERROS DE ORIENTE,,
4570,URB. CERROS DE SANTA ANA E-1,URB. CERROS DE SANTA ANA,VEREDA SUBA NARANJOS,,
4571,URB. CERROS DEL SUR E-19,URB. CERROS DEL SUR ,LUCERO DEL SUR,,
4572,URB. CHICO ALTO E-2,URB. CHICO ALTO,BOCHICA,,
4573,URB. CHICO CHICO E-2,URB. CHICO CHICO,EL CHICO,,
4574,URB. CHICO NORTE E-2,URB. CHICO NORTE,CHICO NORTE,,
4575,URB. CHUCUA III SECTOR E-11,URB. CHUCUA III SECTOR ,,,
4576,URB. CIUDAD DE KENNEDY ORIENTAL E-8,URB. CIUDAD DE KENNEDY ORIENTAL,CIUDAD KENNEDY ORIENTAL,,
4577,URB. CIUDAD DE TECHO E-8,URB. CIUDAD DE TECHO,,,
4578,URB. CIUDAD KENNEDY NORTE SPMZ 12A E-8,URB. CIUDAD KENNEDY NORTE SPMZ 12A,CIUDAD KENNEDY,,
4579,URB. CIUDAD KENNEDY ORIENTAL SPMZ 3 E-8,URB. CIUDAD KENNEDY ORIENTAL SPMZ 3,CIUDAD KENNEDY ORIENTAL,,
4580,URB. CIUDAD KENNEDY SPMZ 1 E-8,URB. CIUDAD KENNEDY SPMZ 1,CIUDAD KENNEDY,,
4581,URB. CIUDAD KENNEDY SPMZ 10 E-8,URB. CIUDAD KENNEDY SPMZ 10,CIUDAD KENNEDY,,
4582,URB. CIUDAD KENNEDY SPMZ 12 E-8,URB. CIUDAD KENNEDY SPMZ 12,CIUDAD KENNEDY,,
4583,URB. CIUDAD KENNEDY SPMZ 13 E-8,URB. CIUDAD KENNEDY SPMZ 13,CIUDAD KENNEDY,,
4584,URB. CIUDAD KENNEDY SPMZ 16 E-8,URB. CIUDAD KENNEDY SPMZ 16,CIUDAD KENNEDY,,
4585,URB. CIUDAD KENNEDY SPMZ 7 E-8,URB. CIUDAD KENNEDY SPMZ 7,CIUDAD KENNEDY,,
4586,URB. CIUDAD KENNEDY SPMZ 8 E-8,URB. CIUDAD KENNEDY SPMZ 8,CIUDAD KENNEDY,,
4587,URB. CIUDAD KENNEDY SPMZ 9B E-8,URB. CIUDAD KENNEDY SPMZ 9B,CIUDAD KENNEDY,,
4588,URB. CIUDAD TECHO II E-8,URB. CIUDAD TECHO II,CIUDAD TECHO II,,
4589,URB. CIUDADELA CAFAM E-11,URB. CIUDADELA CAFAM ,LA CANDELARIA,,
4590,URB. CLARELANDIA DEL SUR E-7,URB. CLARELANDIA DEL SUR,CORDILLERA DEL SUR,,
4591,URB. CLARET EL CARMEN E-6,URB. CLARET EL CARMEN,LA RESURRECCION,,
4592,URB. COBADAS E-1,URB. COBADAS,SUBA URBANO,,
4593,URB. COLON E-16,URB. COLON ,,,
4594,URB. COMPARTIR E-11,URB. COMPARTIR ,ROMA,,
4595,URB. COMPOSTELA E-11,URB. COMPOSTELA ,,,
4596,URB. CONSTRUCTORA MUNDIAL LTDA E-8,URB. CONSTRUCTORA MUNDIAL LTDA,BOSA,,
4597,URB. CONTADOR E-1,URB. CONTADOR,EL CONTADOR,,
4598,URB. CONTADOR NORTE E-1,URB. CONTADOR NORTE,EL CONTADOR,,
4599,URB. CONTINENTAL E-4,URB. CONTINENTAL,TUNAL ORIENTAL,,
4600,URB. CORUÑA DEL SUR E-4,URB. CORUÑA DEL SUR,SUBA CERROS,,
4601,URB. COSTA AZUL I Y II ETAPA E-11,URB. COSTA AZUL I Y II ETAPA ,BOSA,,
4602,URB. COSTA BELLA E-9,URB. COSTA BELLA,BOSA,,
4603,URB. CÓRDOBA E-11,URB. CÓRDOBA ,,,
4604,URB. DANUBIO E-1,URB. DANUBIO,DANUBIO,,
4605,URB. DANUBIO OCCIDENTAL E-1,URB. DANUBIO OCCIDENTAL,NORMANDIA OCCIDENTAL,,
4606,URB. DARDANELOS E-1,URB. DARDANELOS,CIUDAD BERNA,,
4607,URB. DARDANELOS II E-1,URB. DARDANELOS II,JUAN PABLO II,,
4608,URB. DE FONTIBÓN E-9,URB. DE FONTIBÓN,BRISAS ALDEA FONTIBON,,
4609,URB. DORCO E-16,URB. DORCO ,PUERTO RICO,,
4610,URB. DOÑA LILIANA E-5,URB. DOÑA LILIANA,DONA LILIANA,,
4611,URB. ECHEVERRIA E-11,URB. ECHEVERRIA ,,,
4612,URB. EL ALMENAR E-8,URB. EL ALMENAR,EL CARMEN,,
4613,URB. EL BATAM II SECTOR E-11,URB. EL BATAM II SECTOR ,,,
4614,URB. EL BATAN E-11,URB. EL BATAN ,,,
4615,URB. EL CARMELO FAVIDI E-8,URB. EL CARMELO FAVIDI,EL CARMELO,,
4616,URB. EL CARMEN E-9,URB. EL CARMEN,EL CARMEN,,
4617,URB. EL CASTILLO E-2,URB. EL CASTILLO,LUCERO ALTO,,
4618,URB. EL CASTILLO E-8,URB. EL CASTILLO,LUCERO ALTO,,
4619,URB. EL CEDRITO E-1,URB. EL CEDRITO,EL RECUERDO,,
4620,URB. EL CEDRO BOLÍVAR E-1,URB. EL CEDRO BOLÍVAR,,,
4621,URB. EL CEDRO E-1,URB. EL CEDRO,EL CEDRO,,
4622,URB. EL CHICO E-2,URB. EL CHICO,EL CHICO,,
4623,URB. EL CHIZO E-9,URB. EL CHIZO,EL CHICO,,
4624,URB. EL CLARET E-6,URB. EL CLARET,EL BOSQUE CENTRAL,,
4625,URB. EL CONTADOR E-1,URB. EL CONTADOR,EL CONTADOR,,
4626,URB. EL DORADO E-16,URB. EL DORADO ,EL DORADO,,
4627,URB. EL ENSUEÑO E-19,URB. EL ENSUEÑO ,BELEN,,
4628,URB. EL ESTORIL E-11,URB. EL ESTORIL ,EL BOSQUE CENTRAL,,
4629,URB. EL FERROL E-18,URB. EL FERROL ,BELLA FLOR,,
4630,URB. EL JUNCAL E-1,URB. EL JUNCAL,PARQUE EL TUNAL,,
4631,URB. EL LAGUITO E-11,URB. EL LAGUITO ,BELLAVISTA,,
4632,URB. EL LIMONAR E-19,URB. EL LIMONAR ,BARCELONA,,
4633,URB. EL PALMAR E-1,URB. EL PALMAR,BELALCAZAR,,
4634,URB. EL PARQUE E-8,URB. EL PARQUE,,,
4635,URB. EL PASEITO E-4,URB. EL PASEITO,BRAZUELOS OCCIDENTAL,,
4636,URB. EL PASEITO SECTORES I Y III E-4,URB. EL PASEITO SECTORES I Y III,,,
4637,URB. EL PEÑÓN DEL CORTIJO E-19,URB. EL PEÑÓN DEL CORTIJO ,EL PENON DEL CORTIJO,,
4638,URB. EL PINAR DE SUBA II SECTOR E-11,URB. EL PINAR DE SUBA II SECTOR ,EL BOSQUE SUR ORIENTAL RURAL III,,
4639,URB. EL PINAR LA FRAGUA I ETAPA E-11,URB. EL PINAR LA FRAGUA I ETAPA ,ALQUERIA LA FRAGUA NORTE,,
4640,URB. EL POA E-11,URB. EL POA ,,,
4641,URB. EL PORVENIR E-18,URB. EL PORVENIR ,PARCELA EL PORVENIR,,
4642,URB. EL PRECISO E-19,URB. EL PRECISO ,EL PROGRESO,,
4643,URB. EL PÓRTICO E-11,URB. EL PÓRTICO ,PUERTO RICO,,
4644,URB. EL QUIRINAL I ETAPA E-13,URB. EL QUIRINAL I ETAPA ,BARRANQUILLITA,,
4645,URB. EL RECREO DE LOS FRAYLES E-11,URB. EL RECREO DE LOS FRAYLES ,,,
4646,URB. EL RECREO DE USAQUÉN E-1,URB. EL RECREO DE USAQUÉN,,,
4647,URB. EL REDIL II ETAPA E-1,URB. EL REDIL II ETAPA,EL REDIL,,
4648,URB. EL REFUGIO DE LA COLINA E-11,URB. EL REFUGIO DE LA COLINA ,EL BOSQUE SUR ORIENTAL RURAL I,,
4649,URB. EL REFUGIO DE SUBA E-11,URB. EL REFUGIO DE SUBA ,EL REFUGIO,,
4650,URB. EL REFUGIO E-2,URB. EL REFUGIO,EL REFUGIO,,
4651,URB. EL REMANSO E-16,URB. EL REMANSO ,EL REMANSO,,
4652,URB. EL RETIRO E-2,URB. EL RETIRO,EL RETIRO,,
4653,URB. EL RINCON DE SANTA PAULA E-1,URB. EL RINCON DE SANTA PAULA,RINCON DE LA VALVANERA,,
4654,URB. EL RINCÓN DE LAS VILLAS E-11,URB. EL RINCÓN DE LAS VILLAS ,,,
4655,URB. EL RINCÓN DE SANTA PAULA E-1,URB. EL RINCÓN DE SANTA PAULA,,,
4656,URB. EL ROCIO E-1,URB. EL ROCIO,EL ROCIO,,
4657,URB. EL ROCÍO E-1,URB. EL ROCÍO,EL ROCIO,,
4658,URB. EL RUBÍ E-4,URB. EL RUBÍ,,,
4659,URB. EL SALITRE E-13,URB. EL SALITRE ,EL SALITRE,,
4660,URB. EL SOCIEGO E-4,URB. EL SOCIEGO,PUEBLO VIEJO,,
4661,URB. EL SOL E-16,URB. EL SOL ,PUERTA DEL SOL,,
4662,URB. EL SOLAR I E-11,URB. EL SOLAR I ,EL BOSQUE CENTRAL I,,
4663,URB. EL TANQUE E-7,URB. EL TANQUE,RAFAEL NUNEZ,,
4664,URB. EL TRIANGULO E-6,URB. EL TRIANGULO,EL TRIANGULO,,
4665,URB. EL TUNAL E-6,URB. EL TUNAL,PARQUE EL TUNAL,,
4666,URB. EL VIRREY E-5,URB. EL VIRREY,EL VIRREY,,
4667,URB. ELCEDRO MADEIRA E-1,URB. ELCEDRO MADEIRA,EL RECUERDO,,
4668,URB. ELTEJAR E-16,URB. ELTEJAR ,BELEN,,
4669,URB. ENTRERRIOS E-12,URB. ENTRERRIOS ,ENTRERIOS,,
4670,URB. EXPRESO EL PAÍS E-6,URB. EXPRESO EL PAÍS,,,
4671,URB. FLORALIA I Y II SECTOR E-8,URB. FLORALIA I Y II SECTOR,VILLA NELLY III SECTOR,,
4672,URB. FONTIBÓN CENTRO E-9,URB. FONTIBÓN CENTRO,EL RINCON NORTE,,
4673,URB. FRANCISCO DE MIRANDA E-1,URB. FRANCISCO DE MIRANDA,SAN ANTONIO DEL MIRADOR,,
4674,URB. FRANCISCO JOSÉ DE CALDAS E-18,URB. FRANCISCO JOSÉ DE CALDAS ,SAN FRANCISCO RURAL,,
4675,URB. FUCHA E-18,URB. FUCHA ,,,
4676,URB. FUCHA SEVILLA SUR E-15,URB. FUCHA SEVILLA SUR ,LAS VILLAS,,
4677,URB. FUCHA Y SOCIEGO E-15,URB. FUCHA Y SOCIEGO ,,,
4678,URB. FUENTE DEL DORADO E-9,URB. FUENTE DEL DORADO,AEROPUERTO EL DORADO,,
4679,URB. GAITÁN E-12,URB. GAITÁN ,LA GAITANA,,
4680,URB. GALICIA E-19,URB. GALICIA ,GALICIA,,
4681,URB. GECOLSA E-7,URB. GECOLSA,BARCELONA SUR,,
4682,URB. GILMAR II E-11,URB. GILMAR II ,EL MIRADOR II,,
4683,URB. GINEBRA NORTE E-1,URB. GINEBRA NORTE,JORGE URIBE BOTERO,,
4684,URB. GRANADA E-11,URB. GRANADA ,GRANADA,,
4685,URB. GRANJAS DE SAN PABLO E-18,URB. GRANJAS DE SAN PABLO ,GRANJAS SAN PABLO,,
4686,URB. GUACAMAYAS E-4,URB. GUACAMAYAS,,,
4687,URB. GUACARI E-11,URB. GUACARI ,QUIRIGUA ORIENTAL,,
4688,URB. HACIENDA CÓRDOBA I Y II ETAPA E-11,URB. HACIENDA CÓRDOBA I Y II ETAPA ,,,
4689,URB. HATO CHICO II E-11,URB. HATO CHICO II ,BOCHICA II,,
4690,URB. HAYUELOS I ETAPA E-9,URB. HAYUELOS I ETAPA,CIUDAD BACHUE I ETAPA,,
4691,URB. HORACIO ORJUELA E-4,URB. HORACIO ORJUELA,CHARCO RURAL,,
4692,URB. HORIZONTES E-1,URB. HORIZONTES,CHICO NORTE,,
4693,URB. HOSPITAL SANTA CLARA E-15,URB. HOSPITAL SANTA CLARA ,BOITA,,
4694,URB. HUMBERTO VALENCIA E-7,URB. HUMBERTO VALENCIA,,,
4695,URB. ICOAUTOS E-16,URB. ICOAUTOS ,,,
4696,URB. INDUSTRIAL E-16,URB. INDUSTRIAL ,INTERINDUSTRIAL,,
4697,URB. INDUSTRIAL LA LEGUA E-16,URB. INDUSTRIAL LA LEGUA ,BRAZUELOS OCCIDENTAL RURAL,,
4698,URB. INDUSTRIAL MONTEVIDEO E-9,URB. INDUSTRIAL MONTEVIDEO,CENTRO USME URBANO,,
4699,URB. INDUSTRIAL PARAVAS E-10,URB. INDUSTRIAL PARAVAS ,CURUBITAL,,
4700,URB. INDUSTRIAL PENSILVANIA E-16,URB. INDUSTRIAL PENSILVANIA ,CIUDAD UNIVERSITARIA,,
4701,URB. INDUSTRIAL PUENTE ARANDA E-16,URB. INDUSTRIAL PUENTE ARANDA ,,,
4702,URB. INDUSTRIAL SAN PEDRO E-9,URB. INDUSTRIAL SAN PEDRO,SAN CRISTOBAL NORTE,,
4703,URB. INDUSTRIAL SAN PEDRO II SECTOR E-9,URB. INDUSTRIAL SAN PEDRO II SECTOR,SAN BERNARDINO POTRERITOS,,
4704,URB. INDUSTRIAL TIERRA FIRME E-9,URB. INDUSTRIAL TIERRA FIRME,,,
4705,URB. INGEMAR E-2,URB. INGEMAR,INGEMAR,,
4706,URB. ISLANDIA E-7,URB. ISLANDIA,ISLANDIA,,
4707,URB. ISMAEL PERDOMO E-19,URB. ISMAEL PERDOMO ,ISMAEL PERDOMO,,
4708,URB. JOYITA E-4,URB. JOYITA,CURUBITAL,,
4709,URB. KALAMARY E-19,URB. KALAMARY ,RINCON ALTAMAR,,
4710,URB. LA ALBORADA E-11,URB. LA ALBORADA ,LA AURORA,,
4711,URB. LA ALDEA E-9,URB. LA ALDEA,LA ANDREA,,
4712,URB. LA ALEJANDRA E-1,URB. LA ALEJANDRA,LA ARBOLEDA RURAL,,
4713,URB. LA ALQUERÍA E-16,URB. LA ALQUERÍA ,LA CABRERA,,
4714,URB. LA AMISTAD E-7,URB. LA AMISTAD,LA MARIA,,
4715,URB. LA ARCADIA E-1,URB. LA ARCADIA,LA AURORA,,
4716,URB. LA ASUNCIÓN E-16,URB. LA ASUNCIÓN ,LA ASUNCION,,
4717,URB. LA AVENIDA BOSA E-7,URB. LA AVENIDA BOSA,NUEVA GRANADA BOSA,,
4718,URB. LA BELLA SUBA E-11,URB. LA BELLA SUBA ,BELLA FLOR SUR,,
4719,URB. LA CAMPIÑA E-8,URB. LA CAMPIÑA,LA CAMPINA,,
4720,URB. LA CAMPIÑA I SECTOR E-11,URB. LA CAMPIÑA I SECTOR ,LA CAMPINA,,
4721,URB. LA CAMPIÑA II SECTOR E-11,URB. LA CAMPIÑA II SECTOR ,LA CAMPINA,,
4722,URB. LA CAPILLA E-7,URB. LA CAPILLA,LA CAMPINA,,
4723,URB. LA CAROLINA E-1,URB. LA CAROLINA,LA CAROLINA,,
4724,URB. LA CASTELLANA E-12,URB. LA CASTELLANA ,LA CASTELLANA,,
4725,URB. LA CASTELLANA OCCIDENTAL E-12,URB. LA CASTELLANA OCCIDENTAL ,LA CASTELLANA,,
4726,URB. LA CASTELLANA SECTOR NORTE E-12,URB. LA CASTELLANA SECTOR NORTE ,LA CASTELLANA,,
4727,URB. LA CHUCUA E-8,URB. LA CHUCUA,LA CHUCUA,,
4728,URB. LA CHUCUA II SECTOR E-11,URB. LA CHUCUA II SECTOR ,,,
4729,URB. LA COFRADÍA E-9,URB. LA COFRADÍA,LA AURORA,,
4730,URB. LA COLINA CAMPESTRE I SECTOR E-11,URB. LA COLINA CAMPESTRE I SECTOR ,LAS DELICIAS DEL CARMEN II SECTOR,,
4731,URB. LA COLINA CAMPESTRE II SECTOR E-11,URB. LA COLINA CAMPESTRE II SECTOR ,LAS DELICIAS DEL CARMEN II SECTOR,,
4732,URB. LA COLINA CAMPESTRE III SECTOR E-11,URB. LA COLINA CAMPESTRE III SECTOR ,LAS DELICIAS DEL CARMEN II SECTOR,,
4733,URB. LA COLINA CAMPESTRE IV SECTOR E-11,URB. LA COLINA CAMPESTRE IV SECTOR ,CAMPO EUCARISTICO,,
4734,URB. LA COLINA CAMPESTRE V SECTOR E-11,URB. LA COLINA CAMPESTRE V SECTOR ,LAS DELICIAS DEL CARMEN II SECTOR,,
4735,URB. LA COLONIA ORIENTAL E-16,URB. LA COLONIA ORIENTAL ,LA GLORIA ORIENTAL,,
4736,URB. LA CONCEPCIÓN E-7,URB. LA CONCEPCIÓN,CONCEPCION,,
4737,URB. LA CORUÑA E-19,URB. LA CORUÑA ,LA AURORA,,
4738,URB. LA ESPERANZA E-9,URB. LA ESPERANZA,LA ESPERANZA,,
4739,URB. LA ESPERANZA ETAPA A E-9,URB. LA ESPERANZA ETAPA A,LA ESPERANZA,,
4740,URB. LA ESTACIÓN DE LA SABANA E-14,URB. LA ESTACIÓN DE LA SABANA ,BATAN,,
4741,URB. LA ESTACIÓN E-7,URB. LA ESTACIÓN,LA ESTANCIA,,
4742,URB. LA ESTANCIA E-19,URB. LA ESTANCIA ,LA ESTANCIA,,
4743,URB. LA FELICIDAD E-9,URB. LA FELICIDAD,LA LIBERIA,,
4744,URB. LA FLORESTA IV SECTOR E-11,URB. LA FLORESTA IV SECTOR ,BELLAVISTA LUCERO ALTO,,
4745,URB. LA FONTANA E-11,URB. LA FONTANA ,LA CORUNA,,
4746,URB. LA FRAGUA E-15,URB. LA FRAGUA ,LA FRAGUA,,
4747,URB. LA FRAGUITA E-15,URB. LA FRAGUITA ,LA FRAGUITA,,
4748,URB. LA GAITANA E-11,URB. LA GAITANA ,LA GAITANA,,
4749,URB. LA GIRALDA I SECTOR E-9,URB. LA GIRALDA I SECTOR,LA GIRALDA,,
4750,URB. LA GRAN AMERICA E-13,URB. LA GRAN AMERICA ,GRAN AMERICA,,
4751,URB. LA GUACA E-16,URB. LA GUACA ,LA FRAGUA,,
4752,URB. LA GUACA IV SECTOR E-16,URB. LA GUACA IV SECTOR ,CHUCUA DE LA VACA I,,
4753,URB. LA HACIENDA E-11,URB. LA HACIENDA ,LA CABRERA,,
4754,URB. LA HUERTA ( C. CIAL PANAMÁ) E-1,URB. LA HUERTA ( C. CIAL PANAMÁ),,,
4755,URB. LA INDEPENDENCIA E-3,URB. LA INDEPENDENCIA,LA INDEPENDENCIA,,
4756,URB. LA LLANADA E-19,URB. LA LLANADA ,NUEVA GRANADA,,
4757,URB. LA MAGDALENA E-13,URB. LA MAGDALENA ,LA MAGDALENA,,
4758,URB. LA MANUELITA II SECTOR E-11,URB. LA MANUELITA II SECTOR ,VILLA NELLY III SECTOR,,
4759,URB. LA MARGARITA ETAPA 1A E-8,URB. LA MARGARITA ETAPA 1A,,,
4760,URB. LA MARINA E-2,URB. LA MARINA,ALTAMIRA,,
4761,URB. LA MERCED SUR E-18,URB. LA MERCED SUR ,LA MERCED,,
4762,URB. LA MILAGROSA E-19,URB. LA MILAGROSA ,LUIS CARLOS GALAN,,
4763,URB. LA NAVETA E-11,URB. LA NAVETA ,LAS NAVETAS,,
4764,URB. LA PALMA E-11,URB. LA PALMA ,LAS PALMAS,,
4765,URB. LA PALMA I E-11,URB. LA PALMA I ,LAS PALMAS,,
4766,URB. LA PALMA II E-11,URB. LA PALMA II ,JUAN PABLO II,,
4767,URB. LA PENÍNSULA E-4,URB. LA PENÍNSULA,,,
4768,URB. LA PEPITA NORTE E-1,URB. LA PEPITA NORTE,LA PEPITA,,
4769,URB. LA PRIMAVERA E-16,URB. LA PRIMAVERA ,LA PRIMAVERA I,,
4770,URB. LA PROVIDENCIA E-18,URB. LA PROVIDENCIA ,LA RESURRECCION I,,
4771,URB. LA PUERTA DEL SOL E-11,URB. LA PUERTA DEL SOL ,EL NUEVO PORTAL II RURAL,,
4772,URB. LA ROSITA E-9,URB. LA ROSITA,SUBA CERROS,,
4773,URB. LA SABANA DE TIBABUYES E-11,URB. LA SABANA DE TIBABUYES ,SABANA DE TIBABUYES,,
4774,URB. LA SOLEDAD E-13,URB. LA SOLEDAD ,LA SOLEDAD,,
4775,URB. LA SOLEDAD E-9,URB. LA SOLEDAD,LA SOLEDAD,,
4776,URB. LA SONORA E-1,URB. LA SONORA,LA AURORA,,
4777,URB. LA TRINIDAD E-16,URB. LA TRINIDAD ,LA TRINIDAD,,
4778,URB. LA TRINITARIA E-11,URB. LA TRINITARIA ,GRAN BRITALIA I,,
4779,URB. LA UNIDAD E-8,URB. LA UNIDAD,LA TRINIDAD,,
4780,URB. LA URBANA DOCE DE OCTUBRE E-12,URB. LA URBANA DOCE DE OCTUBRE ,,,
4781,URB. LA ZERREZUELA E-11,URB. LA ZERREZUELA ,,,
4782,URB. LAGO DE SUBA E-11,URB. LAGO DE SUBA ,LAGO DE SUBA,,
4783,URB. LAGO TIMIZA I ETAPA E-8,URB. LAGO TIMIZA I ETAPA,LA FRAGUITA,,
4784,URB. LAGO TIMIZA II ETAPA E-8,URB. LAGO TIMIZA II ETAPA,,,
4785,URB. LAGOS DE CÓRDOBA E-11,URB. LAGOS DE CÓRDOBA ,LAGO DE SUBA,,
4786,URB. LAGUNETA E-6,URB. LAGUNETA,LA HUERTA,,
4787,URB. LARA E-16,URB. LARA ,TUNA RURAL,,
4788,URB. LAREDO E-9,URB. LAREDO,,,
4789,URB. LAS ACACIAS E-2,URB. LAS ACACIAS,LAS ACACIAS,,
4790,URB. LAS BRISAS E-1,URB. LAS BRISAS,LAS BRISAS,,
4791,URB. LAS CARABELAS II SECTOR E-16,URB. LAS CARABELAS II SECTOR ,ESCUELA DE CARABINEROS,,
4792,URB. LAS CAROLINAS DE SOACHA E-10,URB. LAS CAROLINAS DE SOACHA ,BRISAS DEL LLANO,,
4793,URB. LAS COLINAS DE PRADO E-11,URB. LAS COLINAS DE PRADO ,SABANA DEL DORADO,,
4794,URB. LAS DELICIAS E-8,URB. LAS DELICIAS,LAS DELICIAS,,
4795,URB. LAS FLORES E-11,URB. LAS FLORES ,LAS FLORES,,
4796,URB. LAS FLORES E-9,URB. LAS FLORES,LAS FLORES,,
4797,URB. LAS LOMAS E-18,URB. LAS LOMAS ,LAS LOMAS,,
4798,URB. LAS LOMAS E-4,URB. LAS LOMAS,LAS LOMAS,,
4799,URB. LAS LOMAS I Y II SECTOR E-18,URB. LAS LOMAS I Y II SECTOR ,SAN LUIS ALTOS DEL CABO RURAL II,,
4800,URB. LAS PALMAS E-16,URB. LAS PALMAS ,LAS PALMAS,,
4801,URB. LAS QUINTAS DEL SUR E-19,URB. LAS QUINTAS DEL SUR ,EL BOSQUE SUR ORIENTAL RURAL I,,
4802,URB. LAS QUINTAS E-1,URB. LAS QUINTAS,LAS BRISAS,,
4803,URB. LAURELES E-8,URB. LAURELES,LOS LAURELES,,
4804,URB. LISBOA E-1,URB. LISBOA,,,
4805,URB. LOMBARDIA E-11,URB. LOMBARDIA ,LOMBARDIA,,
4806,URB. LOMBARDIA III ETAPA - SECTOR A E-11,URB. LOMBARDIA III ETAPA - SECTOR A ,ROMA,,
4807,URB. LOS ALCAPARROS DE SUBA E-11,URB. LOS ALCAPARROS DE SUBA ,SAN LUIS ALTOS DEL CABO RURAL,,
4808,URB. LOS ALCÁZARES E-12,URB. LOS ALCÁZARES ,BOSA,,
4809,URB. LOS ALPES DEL ZIPA E-4,URB. LOS ALPES DEL ZIPA,ALTOS DEL ZIPA,,
4810,URB. LOS ALPES E-1,URB. LOS ALPES,LOS ALPES,,
4811,URB. LOS ANDES E-12,URB. LOS ANDES ,LOS ANDES,,
4812,URB. LOS BALEARES E-9,URB. LOS BALEARES,BOSA,,
4813,URB. LOS BOHÍOS DE HUNZA II SECTOR E-9,URB. LOS BOHÍOS DE HUNZA II SECTOR,,,
4814,URB. LOS CEDRITOS E-1,URB. LOS CEDRITOS,SUBA CERROS,,
4815,URB. LOS CIPRESES E-1,URB. LOS CIPRESES,SUBA CERROS,,
4816,URB. LOS COMUNEROS E-16,URB. LOS COMUNEROS ,SUBA CERROS,,
4817,URB. LOS EJIDOS E-16,URB. LOS EJIDOS ,LOS EJIDOS,,
4818,URB. LOS HEROES E-2,URB. LOS HEROES,,,
4819,URB. LOS LIBERTADORES E-2,URB. LOS LIBERTADORES,BRAZUELOS OCCIDENTAL RURAL,,
4820,URB. LOS MOLINOS E-1,URB. LOS MOLINOS,LOS MOLINOS,,
4821,URB. LOS NOGALES DE TIBABUYES E-11,URB. LOS NOGALES DE TIBABUYES ,BOSA,,
4822,URB. LOS PORTALES DEL NORTE I E-11,URB. LOS PORTALES DEL NORTE I ,PORTALES DEL NORTE,,
4823,URB. LOS PUENTES E-4,URB. LOS PUENTES,,,
4824,URB. LOS SAUCES NORTE E-1,URB. LOS SAUCES NORTE,BOSA,,
4825,URB. LOS URAPANES DEL SUR E-19,URB. LOS URAPANES DEL SUR ,BOSA,,
4826,URB. LOS ÁNGELES E-16,URB. LOS ÁNGELES ,LOS ANGELES,,
4827,URB. LUCERNA E-8,URB. LUCERNA,LA CABRERA,,
4828,URB. LUIS ALBERTO VEGA E-2,URB. LUIS ALBERTO VEGA,ALQUERIA LA FRAGUA NORTE,,
4829,URB. LUISITA E-13,URB. LUISITA ,CURUBITAL,,
4830,URB. MADELENA I Y II SECTOR E-19,URB. MADELENA I Y II SECTOR ,MADELENA,,
