,barrio_original,barrio_sin_est,nom_match,lat,lon
2030,JIMÉNEZ DE QUEZADA E-7,JIMÉNEZ DE QUEZADA,JIMENEZ DE QUESADA,,
2031,JIMÉNEZ DE QUEZADA II SECTOR E-7,JIMÉNEZ DE QUEZADA II SECTOR,JIMENEZ DE QUESADA II SECTOR,,
2032,JORDAN E-9,JORDAN,CORDOBA,,
2033,JORGE CAVALIER E-18,JORGE CAVALIER ,JORGE ELIECER GAITAN,,
2034,JORGE ELIECER GAITAN E-12,JORGE ELIECER GAITAN ,JORGE ELIECER GAITAN,,
2035,JORGE GAITAN CORTES E-16,JORGE GAITAN CORTES ,JORGE GAITAN CORTES,,
2036,JORGE URIBE BOTERO E-7,JORGE URIBE BOTERO,JORGE URIBE BOTERO,,
2037,JOSE ANTONIO GALAN E-7,JOSE ANTONIO GALAN,JOSE ANTONIO GALAN,,
2038,JOSE DOMINGO LAIN E-19,JOSE DOMINGO LAIN ,JOSE ANTONIO GALAN,,
2039,JOSE JOAQUIN VARGAS E-12,JOSE JOAQUIN VARGAS ,JOSE JOAQUIN VARGAS,,
2040,JOSE MARIA CARBONEL I Y II ETAPA E-7,JOSE MARIA CARBONEL I Y II ETAPA,JOSE MARIA CARBONEL,,
2041,JOSE MARIA MARULANDA E-4,JOSE MARIA MARULANDA,JOSE MARIA CARBONEL,,
2042,JOSÉ DOMINGO LAIN E-19,JOSÉ DOMINGO LAIN ,JOSE ANTONIO GALAN,,
2043,JOSÉ JOAQUÍN VARGAS E-12,JOSÉ JOAQUÍN VARGAS ,JOSE JOAQUIN VARGAS,,
2044,JOSÉ MARÍA CARBONEL I Y II ETAPA E-7,JOSÉ MARÍA CARBONEL I Y II ETAPA,JOSE MARIA CARBONEL,,
2045,JUAN AMARILLO E-10,JUAN AMARILLO ,JUAN PABLO II,,
2046,JUAN AMARILLO E-11,JUAN AMARILLO ,JUAN PABLO II,,
2047,JUAN DEL CORRAL E-10,JUAN DEL CORRAL ,JUAN REY SUR,,
2048,JUAN JOSE RONDON E-19,JUAN JOSE RONDON ,JUAN JOSE RONDON,,
2049,JUAN JOSE RONDON E-4,JUAN JOSE RONDON,JUAN JOSE RONDON,,
2050,JUAN JOSE RONDON E-5,JUAN JOSE RONDON,JUAN JOSE RONDON,,
